Date,Year,Month,Month_Name,Day,Weekday,Quarter,Mode,Category,Category_Code,Subcategory,Note,Amount,Transaction_Type,Transaction_Type_Code
2017-11-26,2017,11,November,26,Sunday,4,Cash,Transportation,48,auto,eye institute to Place 6 station,40.0,Expense,0
2017-12-17,2017,12,December,17,Sunday,4,Cash,Transportation,48,Train,Place 0 to Place 4 return,20.0,Expense,0
2016-05-16,2016,5,May,16,Monday,2,Saving Bank Account 1,Subscription,45,Mobile Service Provider,Unknown,251.0,Expense,0
2018-01-18,2018,1,January,18,Thursday,1,Saving Bank Account 1,Food,18,Eggs,6 eggs,42.0,Expense,0
2015-03-29,2015,3,March,29,Sunday,1,Cash,Food,18,Grocery,Unknown,150.0,Expense,0
2015-03-02,2015,3,March,2,Monday,1,Cash,Food,18,breakfast,2 uttapam,40.0,Expense,0
2017-01-08,2017,1,January,8,Sunday,1,Cash,Transportation,48,auto,Place 2 bus stand to Permanent Residence,50.0,Expense,0
2018-03-04,2018,3,March,4,Sunday,1,Cash,Family,15,Pocket money,Unknown,450.0,Expense,0
2017-02-19,2017,2,February,19,Sunday,1,Saving Bank Account 1,Apparel,1,Clothing,undergarments pair of Jockey,498.0,Expense,0
2017-11-23,2017,11,November,23,Thursday,4,Saving Bank Account 1,Food,18,Milk,1 lit,69.0,Expense,0
2017-12-13,2017,12,December,13,Wednesday,4,Cash,Family,15,Pocket money,Unknown,20.0,Expense,0
2017-02-19,2017,2,February,19,Sunday,1,Cash,Food,18,beverage,sugarcane juice 2,30.0,Expense,0
2016-11-19,2016,11,November,19,Saturday,4,Cash,Transportation,48,Bus,Place T to brc,94.0,Expense,0
2017-07-03,2017,7,July,3,Monday,3,Saving Bank Account 1,Other,31,Unknown,Devi Temple,5.0,Expense,0
2015-02-07,2015,2,February,7,Saturday,1,Cash,Food,18,Unknown,tea,6.0,Expense,0
2017-05-31,2017,5,May,31,Wednesday,2,Saving Bank Account 1,Apparel,1,Clothing,undergarments pair of Jockey,655.0,Expense,0
2018-08-27,2018,8,August,27,Monday,3,Cash,Food,18,Biscuits,Khari packet,45.0,Expense,0
2015-03-12,2015,3,March,12,Thursday,1,Cash,Food,18,Tea,Unknown,30.0,Expense,0
2016-11-19,2016,11,November,19,Saturday,4,Cash,Other,31,Unknown,"Puja saman (150 for 5 Nariyal, 400 for 1kg sweets and 190 for rest)",740.0,Expense,0
2017-11-17,2017,11,November,17,Friday,4,Saving Bank Account 1,Household,24,Kirana,Agarbatti 55 + dahi 25,80.0,Expense,0
2018-03-04,2018,3,March,4,Sunday,1,Cash,Food,18,Lunch,Catering Service,130.0,Expense,0
2018-03-08,2018,3,March,8,Thursday,1,Saving Bank Account 1,Equity Mutual Fund E,13,Unknown,Unknown,1000.0,Transfer-Out,2
2018-06-09,2018,6,June,9,Saturday,2,Credit Card,Subscription,45,Mobile Service Provider,Data booster pack,667.0,Expense,0
2017-01-11,2017,1,January,11,Wednesday,1,Saving Bank Account 1,Health,23,Medicine,adulsa ( tonic for cough ),90.0,Expense,0
2017-04-03,2017,4,April,3,Monday,2,Saving Bank Account 1,Food,18,snacks,1 chicken shawarma,60.0,Expense,0
2017-12-02,2017,12,December,2,Saturday,4,Saving Bank Account 1,Food,18,Milk,milk 1lit,69.0,Expense,0
2018-01-06,2018,1,January,6,Saturday,1,Cash,Food,18,curd,2 cups,20.0,Expense,0
2016-12-10,2016,12,December,10,Saturday,4,Saving Bank Account 1,Investment,26,Mutual fund,Unknown,1000.0,Expense,0
2018-03-20,2018,3,March,20,Tuesday,1,Cash,Food,18,Milk,Half lit  milk,36.0,Expense,0
2018-02-13,2018,2,February,13,Tuesday,1,Saving Bank Account 1,Food,18,Grocery,Amul cheese,72.0,Expense,0
2016-04-12,2016,4,April,12,Tuesday,2,Saving Bank Account 1,Investment,26,RD,Unknown,1000.0,Expense,0
2016-12-31,2016,12,December,31,Saturday,4,Saving Bank Account 1,Food,18,Grocery,edible oil,160.0,Expense,0
2017-05-30,2017,5,May,30,Tuesday,2,Cash,Transportation,48,auto,2 Place 0 to Current Residence,30.0,Expense,0
2015-11-07,2015,11,November,7,Saturday,4,Saving Bank Account 1,Investment,26,Mutual fund,reliance mutual fund,1000.0,Expense,0
2017-11-27,2017,11,November,27,Monday,4,Saving Bank Account 1,Health,23,Health,Glasses advance,1000.0,Expense,0
2015-08-10,2015,8,August,10,Monday,3,Saving Bank Account 1,Recurring Deposit,34,Unknown,Unknown,1000.0,Expense,0
2018-05-22,2018,5,May,22,Tuesday,2,Cash,Health,23,Health,2 All out refill,154.0,Expense,0
2017-05-01,2017,5,May,1,Monday,2,Saving Bank Account 1,Food,18,flour mill,M D sure 1kg atta,47.0,Expense,0
2017-12-05,2017,12,December,5,Tuesday,4,Saving Bank Account 1,Equity Mutual Fund A,9,Unknown,Unknown,1000.0,Transfer-Out,2
2016-09-11,2016,9,September,11,Sunday,3,Cash,Food,18,Grocery,badishop,70.0,Expense,0
2015-06-10,2015,6,June,10,Wednesday,2,Saving Bank Account 1,Recurring Deposit,34,Unknown,Unknown,1000.0,Expense,0
2018-02-01,2018,2,February,1,Thursday,1,Saving Bank Account 1,Public Provident Fund,33,Unknown,Unknown,10000.0,Transfer-Out,2
2015-03-18,2015,3,March,18,Wednesday,1,Cash,Food,18,snacks,samosa+tea+veg cheese grill sandwich,53.0,Expense,0
2018-07-01,2018,7,July,1,Sunday,3,Cash,Apparel,1,Laundry,clothes ironing,98.0,Expense,0
2015-05-16,2015,5,May,16,Saturday,2,Cash,Food,18,fruits,bananas 1 kg,20.0,Expense,0
2017-05-06,2017,5,May,6,Saturday,2,Cash,Food,18,Tea,Unknown,10.0,Expense,0
2017-11-19,2017,11,November,19,Sunday,4,Cash,Transportation,48,Train,2 Place 0 to Place 6 return,20.0,Expense,0
2017-05-18,2017,5,May,18,Thursday,2,Saving Bank Account 1,Food,18,Milk,milk 1lit,64.0,Expense,0
2018-01-21,2018,1,January,21,Sunday,1,Credit Card,Food,18,Dinner,Home Food Delivery,384.0,Expense,0
2017-07-11,2017,7,July,11,Tuesday,3,Cash,Family,15,Pocket money,Unknown,1500.0,Expense,0
2017-05-10,2017,5,May,10,Wednesday,2,Saving Bank Account 1,Food,18,breakfast,Tea + 2 kachori,34.0,Expense,0
2017-12-05,2017,12,December,5,Tuesday,4,Saving Bank Account 1,Subscription,45,Tata Sky,Current Residence - Tata Play recharge,100.0,Expense,0
2017-10-23,2017,10,October,23,Monday,4,Saving Bank Account 1,Subscription,45,Tata Sky,Permanent Residence - Tata Play recharge,191.0,Expense,0
2017-06-11,2017,6,June,11,Sunday,2,Saving Bank Account 1,Beauty,2,grooming,hair cut,100.0,Expense,0
2017-07-28,2017,7,July,28,Friday,3,Credit Card,Health,23,Hospital,Hospital consultation,3050.0,Expense,0
2018-08-02,2018,8,August,2,Thursday,3,Cash,Food,18,flour mill,M D sure 4kg atta,216.0,Expense,0
2018-01-06,2018,1,January,6,Saturday,1,Cash,Household,24,Kirana,Idli pith 1kg,38.0,Expense,0
2017-06-04,2017,6,June,4,Sunday,2,Saving Bank Account 1,Food,18,vegetables,Pav kg Simla mirch 20 + Hari mirch 5,25.0,Expense,0
2015-03-15,2015,3,March,15,Sunday,1,Cash,Apparel,1,Clothing,altering,30.0,Expense,0
2018-01-11,2018,1,January,11,Thursday,1,Saving Bank Account 1,Food,18,Milk,1 lit,69.0,Expense,0
2018-04-13,2018,4,April,13,Friday,2,Saving Bank Account 1,Small Cap Fund 2,43,Unknown,Unknown,5000.0,Transfer-Out,2
2017-04-28,2017,4,April,28,Friday,2,Saving Bank Account 1,Food,18,Ice cream,Cup of butterscotch (20) + chocobar (10),30.0,Expense,0
2016-11-01,2016,11,November,1,Tuesday,4,Saving Bank Account 1,Money Transfer,30,Unknown,Unknown,10000.0,Expense,0
2017-08-22,2017,8,August,22,Tuesday,3,Saving Bank Account 1,Life Insurance,27,Unknown,Unknown,11043.0,Transfer-Out,2
2018-05-27,2018,5,May,27,Sunday,2,Saving Bank Account 2,Interest,25,Unknown,interest paid,28.0,Income,1
2017-05-22,2017,5,May,22,Monday,2,Saving Bank Account 1,Food,18,beverage,sugarcane juice,15.0,Expense,0
2017-11-12,2017,11,November,12,Sunday,4,Credit Card,Household,24,Appliances,USB cord,130.0,Expense,0
2017-08-22,2017,8,August,22,Tuesday,3,Saving Bank Account 1,Equity Mutual Fund C,11,Unknown,Unknown,1000.0,Transfer-Out,2
2017-10-08,2017,10,October,8,Sunday,4,Credit Card,Gift,20,Unknown,For Friend,6500.0,Expense,0
2016-08-10,2016,8,August,10,Wednesday,3,Saving Bank Account 1,Investment,26,Mutual fund,Unknown,1000.0,Expense,0
2018-04-23,2018,4,April,23,Monday,2,Saving Bank Account 1,Household,24,Kirana,Idli pith 1kg,38.0,Expense,0
2018-02-26,2018,2,February,26,Monday,1,Saving Bank Account 1,Household,24,Toiletries,Mirror repair,140.0,Expense,0
2015-03-20,2015,3,March,20,Friday,1,Cash,Apparel,1,Laundry,dry cleaning,100.0,Expense,0
2016-12-18,2016,12,December,18,Sunday,4,Saving Bank Account 1,Bonus,3,Unknown,reward Gpay,5.0,Income,1
2016-02-20,2016,2,February,20,Saturday,1,Cash,Food,18,Grocery,biscuits,85.0,Expense,0
2018-02-27,2018,2,February,27,Tuesday,1,Cash,Food,18,Lunch,5 chapati,30.0,Expense,0
2017-08-15,2017,8,August,15,Tuesday,3,Credit Card,Household,24,Appliances,Wifi Router TP link,1400.0,Expense,0
2017-08-24,2017,8,August,24,Thursday,3,Credit Card,Household,24,home decor,2 Bedsheets (1500 each),3000.0,Expense,0
2017-11-22,2017,11,November,22,Wednesday,4,Saving Bank Account 1,Equity Mutual Fund C,11,Unknown,Unknown,1000.0,Transfer-Out,2
2018-02-20,2018,2,February,20,Tuesday,1,Saving Bank Account 1,Household,24,Appliances,Kitchen fan + installation+ repair,2600.0,Expense,0
2017-01-05,2017,1,January,5,Thursday,1,Cash,Food,18,Milk,milk 0.5 lit,31.0,Expense,0
2017-06-22,2017,6,June,22,Thursday,2,Saving Bank Account 1,Food,18,Milk,milk 1lit,64.0,Expense,0
2018-04-30,2018,4,April,30,Monday,2,Cash,Gift,20,Unknown,To Family,500.0,Expense,0
2018-03-25,2018,3,March,25,Sunday,1,Credit Card,Food,18,snacks,French crossiant,80.0,Expense,0
2017-06-08,2017,6,June,8,Thursday,2,Saving Bank Account 1,Food,18,Milk,milk 1lit,64.0,Expense,0
2018-07-03,2018,7,July,3,Tuesday,3,Cash,Maid,28,Unknown,Unknown,500.0,Expense,0
2018-04-10,2018,4,April,10,Tuesday,2,Cash,Food,18,breakfast,Bread,18.0,Expense,0
2017-11-26,2017,11,November,26,Sunday,4,Cash,Transportation,48,Train,1 Place 0 to Place 6 return,10.0,Expense,0
2017-04-01,2017,4,April,1,Saturday,2,Saving Bank Account 1,Money Transfer,30,Unknown,Unknown,10000.0,Expense,0
2017-09-29,2017,9,September,29,Friday,3,Cash,Food,18,snacks,Gupta bhel,25.0,Expense,0
2017-06-23,2017,6,June,23,Friday,2,Saving Bank Account 1,Food,18,Grocery,Shengdane pav kg,35.0,Expense,0
2017-06-05,2017,6,June,5,Monday,2,Saving Bank Account 1,Equity Mutual Fund A,9,Unknown,Unknown,1000.0,Transfer-Out,2
2017-10-26,2017,10,October,26,Thursday,4,Cash,Festivals,16,Diwali,Offering,50.0,Expense,0
2017-02-28,2017,2,February,28,Tuesday,1,Cash,Transportation,48,Train,2 Place 3m to vadala rd,10.0,Expense,0
2016-03-15,2016,3,March,15,Tuesday,1,Saving Bank Account 1,Subscription,45,Mobile Service Provider,Mobile Service Provider recharge wfh,251.0,Expense,0
2017-11-27,2017,11,November,27,Monday,4,Cash,Transportation,48,Train,1 Place 0 to Place 6,5.0,Expense,0
2018-07-19,2018,7,July,19,Thursday,3,Cash,Food,18,curd,Dahi 4 packets,40.0,Expense,0
2016-11-04,2016,11,November,4,Friday,4,Cash,Festivals,16,Diwali,firecracker,50.0,Expense,0
2018-03-08,2018,3,March,8,Thursday,1,Cash,Food,18,Milk,Half lit  milk,36.0,Expense,0
2018-03-01,2018,3,March,1,Thursday,1,Cash,Food,18,Eggs,6 eggs,36.0,Expense,0
2017-07-31,2017,7,July,31,Monday,3,Saving Bank Account 1,Food,18,Eggs,4 eggs,22.0,Expense,0
2018-02-15,2018,2,February,15,Thursday,1,Saving Bank Account 1,Food,18,Ice cream,chocobar,35.0,Expense,0
2015-03-29,2015,3,March,29,Sunday,1,Cash,Health,23,Medicine,kala hit,269.0,Expense,0
2018-04-15,2018,4,April,15,Sunday,2,Cash,Food,18,Tea,2 cutting chai,20.0,Expense,0
2018-03-26,2018,3,March,26,Monday,1,Saving Bank Account 1,Food,18,Milk,milk 1lit,72.0,Expense,0
2016-11-25,2016,11,November,25,Friday,4,Saving Bank Account 1,Subscription,45,Mobile Service Provider,Mobile Service Provider recharge wfh,251.0,Expense,0
2016-12-08,2016,12,December,8,Thursday,4,Saving Bank Account 1,Food,18,Grocery,cheese cubes(2),30.0,Expense,0
2017-05-10,2017,5,May,10,Wednesday,2,Saving Bank Account 1,Equity Mutual Fund F,14,Unknown,Unknown,1000.0,Transfer-Out,2
2017-11-26,2017,11,November,26,Sunday,4,Saving Bank Account 1,Gpay Reward,21,Unknown,Unknown,8.0,Income,1
2017-09-17,2017,9,September,17,Sunday,3,Credit Card,Household,24,Kirana,Supermart,558.0,Expense,0
2017-05-10,2017,5,May,10,Wednesday,2,Saving Bank Account 1,Education,8,Stationary,Courier,100.0,Expense,0
2017-07-30,2017,7,July,30,Sunday,3,Saving Bank Account 1,Gpay Reward,21,Unknown,Unknown,6.0,Income,1
2018-04-28,2018,4,April,28,Saturday,2,Credit Card,Food,18,Dinner,Home Food Delivery,413.0,Expense,0
2017-07-27,2017,7,July,27,Thursday,3,Credit Card,Food,18,Lunch,Chicken lollypop 4 pcs,203.0,Expense,0
2018-05-28,2018,5,May,28,Monday,2,Credit Card,Subscription,45,Mobile Service Provider,Data booster pack,25.0,Expense,0
2015-02-03,2015,2,February,3,Tuesday,1,Cash,Food,18,Unknown,tea,10.0,Expense,0
2017-11-05,2017,11,November,5,Sunday,4,Saving Bank Account 1,Equity Mutual Fund A,9,Unknown,Unknown,1000.0,Transfer-Out,2
2018-02-03,2018,2,February,3,Saturday,1,Saving Bank Account 1,Food,18,Ice cream,chocobar,10.0,Expense,0
2017-05-25,2017,5,May,25,Thursday,2,Cash,Food,18,snacks,Ragda Puri,30.0,Expense,0
2015-03-06,2015,3,March,6,Friday,1,Cash,Food,18,beverage,orange juice,25.0,Expense,0
2018-01-30,2018,1,January,30,Tuesday,1,Cash,Family,15,Pocket money,Unknown,100.0,Expense,0
2017-09-30,2017,9,September,30,Saturday,3,Cash,Household,24,Kitchen,Cooktop installation+ base,600.0,Expense,0
2016-10-10,2016,10,October,10,Monday,4,Saving Bank Account 1,Investment,26,RD,Unknown,1000.0,Expense,0
2015-07-02,2015,7,July,2,Thursday,3,Saving Bank Account 1,Other,31,Unknown,splitwise settlement,312.0,Expense,0
2016-10-05,2016,10,October,5,Wednesday,4,Saving Bank Account 1,Investment,26,RD,Unknown,1000.0,Expense,0
2016-01-08,2016,1,January,8,Friday,1,Saving Bank Account 1,Other,31,Unknown,laptop table,1994.0,Expense,0
2017-08-07,2017,8,August,7,Monday,3,Saving Bank Account 1,Food,18,Milk,Half lit  milk,33.0,Expense,0
2018-06-15,2018,6,June,15,Friday,2,Saving Bank Account 1,Subscription,45,Mobile Service Provider,Data booster pack,15.0,Expense,0
2017-10-10,2017,10,October,10,Tuesday,4,Saving Bank Account 1,Share Market,41,Unknown,Stock market,150000.0,Transfer-Out,2
2017-12-19,2017,12,December,19,Tuesday,4,Saving Bank Account 1,Gpay Reward,21,Unknown,Unknown,6.0,Income,1
2017-06-07,2017,6,June,7,Wednesday,2,Saving Bank Account 1,Equity Mutual Fund E,13,Unknown,Unknown,1000.0,Transfer-Out,2
2015-03-10,2015,3,March,10,Tuesday,1,Saving Bank Account 1,Investment,26,Mutual fund,mutual fund,1000.0,Expense,0
2018-08-01,2018,8,August,1,Wednesday,3,Equity Mutual Fund B,Saving Bank Account 1,37,Unknown,Unknown,2000.0,Transfer-Out,2
2017-02-13,2017,2,February,13,Monday,1,Saving Bank Account 1,Subscription,45,Mobile Service Provider,Mobile Service Provider recharge wfh,301.0,Expense,0
2018-06-07,2018,6,June,7,Thursday,2,Saving Bank Account 1,Equity Mutual Fund E,13,Unknown,Unknown,1000.0,Transfer-Out,2
2018-02-22,2018,2,February,22,Thursday,1,Saving Bank Account 1,Life Insurance,27,Unknown,Unknown,11043.0,Transfer-Out,2
2018-07-04,2018,7,July,4,Wednesday,3,Cash,Beauty,2,grooming,Shaving,50.0,Expense,0
2017-02-26,2017,2,February,26,Sunday,1,Saving Bank Account 1,Household,24,Kirana,Unknown,846.0,Expense,0
2017-10-21,2017,10,October,21,Saturday,4,Cash,Maid,28,Unknown,Unknown,2000.0,Expense,0
2017-01-06,2017,1,January,6,Friday,1,Saving Bank Account 1,Food,18,snacks,4 Shegaon kachori,48.0,Expense,0
2018-06-26,2018,6,June,26,Tuesday,2,Saving Bank Account 1,Household,24,Appliances,Aqugurad water purifier,13050.0,Expense,0
2017-08-28,2017,8,August,28,Monday,3,Cash,Tourism,47,Trip,Misc expense,200.0,Expense,0
2015-02-26,2015,2,February,26,Thursday,1,Cash,Food,18,Tea,Unknown,6.0,Expense,0
2018-07-02,2018,7,July,2,Monday,3,Cash,Transportation,48,auto,Place 1 bridge to Current Residence 2 seats,50.0,Expense,0
2015-02-01,2015,2,February,1,Sunday,1,Cash,Household,24,Unknown,electricity bill,784.0,Expense,0
2015-03-10,2015,3,March,10,Tuesday,1,Cash,Transportation,48,Train,Place 0 to Bandra,20.0,Expense,0
2018-01-12,2018,1,January,12,Friday,1,Cash,Health,23,Lab Tests,Family Thyroid Test,500.0,Expense,0
2015-04-08,2015,4,April,8,Wednesday,2,Cash,Food,18,Grocery,Unknown,156.0,Expense,0
2016-12-05,2016,12,December,5,Monday,4,Cash,Family,15,medicine,tonic,155.0,Expense,0
2016-06-01,2016,6,June,1,Wednesday,2,Saving Bank Account 1,Money Transfer,30,Unknown,Unknown,10000.0,Expense,0
2018-03-05,2018,3,March,5,Monday,1,Saving Bank Account 1,Other,31,Unknown,blanket sewing,10.0,Expense,0
2016-07-01,2016,7,July,1,Friday,3,Saving Bank Account 1,Money Transfer,30,Unknown,Unknown,15000.0,Expense,0
2017-04-25,2017,4,April,25,Tuesday,2,Saving Bank Account 1,Food,18,Milk,milk 1lit,64.0,Expense,0
2018-03-08,2018,3,March,8,Thursday,1,Saving Bank Account 1,Subscription,45,Mahanagar Gas,Unknown,540.0,Expense,0
2016-07-01,2016,7,July,1,Friday,3,Saving Bank Account 1,Family,15,misc,Family Mobile Service Provider recharge,2599.0,Expense,0
2017-08-19,2017,8,August,19,Saturday,3,Cash,Household,24,Appliances,2 locks for bags,60.0,Expense,0
2018-05-07,2018,5,May,7,Monday,2,Cash,Transportation,48,Bike,Mall parking,20.0,Expense,0
2016-11-30,2016,11,November,30,Wednesday,4,Saving Bank Account 1,Subscription,45,Mobile Service Provider,mobile recharge sim 2,98.0,Expense,0
2016-08-10,2016,8,August,10,Wednesday,3,Saving Bank Account 1,Investment,26,RD,Unknown,1000.0,Expense,0
2018-03-20,2018,3,March,20,Tuesday,1,Cash,Food,18,breakfast,Bread,18.0,Expense,0
2015-03-02,2015,3,March,2,Monday,1,Cash,Health,23,Hospital,dentist check-up,300.0,Expense,0
2018-05-13,2018,5,May,13,Sunday,2,Cash,Education,8,Stationary,Gel pen Refills,12.0,Expense,0
2016-01-31,2016,1,January,31,Sunday,1,Saving Bank Account 1,Salary,36,Unknown,From workplace,49806.0,Income,1
2016-09-12,2016,9,September,12,Monday,3,Cash,Food,18,Grocery,bread,35.0,Expense,0
2015-01-06,2015,1,January,6,Tuesday,1,Cash,Food,18,Unknown,tea,15.0,Expense,0
2017-01-19,2017,1,January,19,Thursday,1,Cash,Food,18,snacks,2 Bombay vada pav,20.0,Expense,0
2018-02-01,2018,2,February,1,Thursday,1,Equity Mutual Fund B,Saving Bank Account 1,37,Unknown,Unknown,2000.0,Transfer-Out,2
2016-01-01,2016,1,January,1,Friday,1,Saving Bank Account 1,Food,18,Unknown,Amul butter 100gm(4 pcs),192.0,Expense,0
2015-02-28,2015,2,February,28,Saturday,1,Cash,Food,18,Tea,Unknown,20.0,Expense,0
2016-09-12,2016,9,September,12,Monday,3,Cash,Food,18,Milk,half liter buffalo,35.0,Expense,0
2017-03-23,2017,3,March,23,Thursday,1,Saving Bank Account 1,Other,31,Unknown,Fifa 21 pc,1499.0,Expense,0
2017-05-12,2017,5,May,12,Friday,2,Saving Bank Account 1,Family,15,Pocket money,Unknown,5000.0,Expense,0
2017-03-31,2017,3,March,31,Friday,1,Cash,Transportation,48,auto,Place 4 station to Place 4 plaza,15.0,Expense,0
2018-06-18,2018,6,June,18,Monday,2,Saving Bank Account 1,Subscription,45,Mobile Service Provider,Data booster pack,15.0,Expense,0
2017-02-06,2017,2,February,6,Monday,1,Cash,Food,18,Grocery,vegetables,195.0,Expense,0
2018-06-27,2018,6,June,27,Wednesday,2,Credit Card,Apparel,1,Footwear,Rainy season chappal,550.0,Expense,0
2017-06-19,2017,6,June,19,Monday,2,Saving Bank Account 1,Food,18,breakfast,Bread,18.0,Expense,0
2017-05-18,2017,5,May,18,Thursday,2,Saving Bank Account 1,Food,18,breakfast,Poha,25.0,Expense,0
2017-11-12,2017,11,November,12,Sunday,4,Cash,Transportation,48,auto,Place P station to Alfa market,34.0,Expense,0
2017-05-02,2017,5,May,2,Tuesday,2,Saving Bank Account 1,Food,18,Milk,milk 1lit,64.0,Expense,0
2017-07-04,2017,7,July,4,Tuesday,3,Saving Bank Account 1,Subscription,45,Edtech Course,Unknown,2700.0,Expense,0
2016-08-24,2016,8,August,24,Wednesday,3,Saving Bank Account 1,Festivals,16,Rakshabandhan,rakshabandhan ovalni,500.0,Expense,0
2015-02-19,2015,2,February,19,Thursday,1,Cash,Health,23,Medicine,koflet,34.0,Expense,0
2017-08-10,2017,8,August,10,Thursday,3,Saving Bank Account 1,Food,18,Milk,milk 1lit,66.0,Expense,0
2017-07-17,2017,7,July,17,Monday,3,Saving Bank Account 1,Transportation,48,Train,2 Place 0 to TB returns,40.0,Expense,0
2016-09-14,2016,9,September,14,Wednesday,3,Saving Bank Account 1,Subscription,45,Mobile Service Provider,Unknown,251.0,Expense,0
2017-06-26,2017,6,June,26,Monday,2,Saving Bank Account 1,Food,18,snacks,2 kachori,24.0,Expense,0
2015-01-21,2015,1,January,21,Wednesday,1,Cash,Household,24,Unknown,broom,60.0,Expense,0
2017-02-26,2017,2,February,26,Sunday,1,Saving Bank Account 1,Food,18,snacks,2 Jumbo king burger,58.0,Expense,0
2017-01-06,2017,1,January,6,Friday,1,Saving Bank Account 1,Transportation,48,Travels,Place 1 to Place 2 - Novelty tour and travels,1396.5,Expense,0
2017-11-06,2017,11,November,6,Monday,4,Cash,Food,18,Eggs,6 eggs,39.0,Expense,0
