Headline,Date,Stock_Ticker
'Apple's only retail store in South Korea reopening April 18' -9to5Mac,2020-04-16,AAPL
Internet Trends Report: Why Immigration Is Critical To The US Tech Industry,2019-06-17,NVDA
"Though Their Stocks Have Cooled, The Semiconductor Industry Is As Hot As Ever",2018-04-20,NVDA
"Volkswagen, NVIDIA Announce Use of NVIDIA DRIVE IX with AI in Future Vehicle Lineup at #CES2018",2018-01-08,NVDA
"Morgan Stanley Bullish On Rising App Store Revenue, Raises Apple Price Target",2020-06-03,AAPL
28 Stocks Moving In Friday's Pre-Market Session,2018-11-16,NVDA
Shares of several technology companies are trading higher after China's Commerce Ministry stated they are open to dialogue to resolve trade tensions; Mexico trade concerns also eased after Mexican officials said it could find common ground with the US.,2019-06-04,NVDA
Nvidia GeForce Now Game Streaming Is Now Available,2020-02-04,NVDA
3 ETFs To Short The Dow,2020-03-23,AAPL
AMD's RX 5700 Graphics Cards Now Available: What You Need To Know,2019-07-08,NVDA
Nvidia shares trade up 1.8% ahead of tonight's Q3 earnings; Analysts estimate EPS of $1.71 and revenues of $3.24 billion.,2018-11-15,NVDA
"Raymond James Maintains Outperform on NVIDIA, Raises Price Target to $300",2020-02-14,NVDA
NVIDIA Reports Strong EPS and Revenue,2014-02-13,NVDA
"JP Morgan Maintains Overweight on NVIDIA, Raises Price Target to $237",2019-11-15,NVDA
Lazard Capital Initiates Coverage On Nvidia at Neutral,2012-06-28,NVDA
Benzinga's Option Alert Recap From July 17,2017-07-17,NVDA
25 Technology Stocks Moving In Monday's Pre-Market Session,2020-02-24,NVDA
US Stock Futures Up; Jobless Claims Data In Focus,2011-11-10,NVDA
"Atlantic Equities Initiates Coverage On NVIDIA with Overweight Rating, Announces $195 Price Target",2019-02-22,NVDA
"Short Interest Rises In Marvell, Falls In Qualcomm (MRVL, QCOM, TXN)",2013-11-13,NVDA
Volvo Group Partners With NVIDIA to Develop Advanced AI Platform for Autonomous Trucks,2019-06-18,NVDA
Benzinga's Option Alert Recap From May 9,2017-05-09,NVDA
Carter Worth Thinks That NVIDIA Is Too Expensive,2016-10-06,NVDA
NVIDIA Has Filed With China Regulator SAMR For Approval For Mellanox Deal,2019-05-21,NVDA
"Jim Cramer Shares His Thoughts On Nvidia, Sirius XM, Chevron And TransUnion",2017-07-12,NVDA
Are Options Traders Betting On A Big Move in NVIDIA?,2017-10-09,NVDA
"'FAANG Stocks Are Strong Once Again,' Facebook, Amazon, Netflix Hit Record Highs Last Week",2020-05-26,AAPL
David Bartosiak's NVIDIA Corporation Trade,2016-02-05,NVDA
Amended 13G Filing From Vanguard Shows 6.78% Stake In NVIDIA,2018-02-09,NVDA
FBR Capital Maintains Market Perform on NVIDIA After Guidance Cut,2012-01-25,NVDA
"Record Run: Stocks Keep Rolling To New Highs as Housing Data, Earnings Look Solid",2020-01-17,NVDA
"Tigress Financial's Ivan Feinseth Initiated Coverage on QUALCOMM with Strong Buy Rating, NVIDIA with Neutral Rating, Texas Instruments with Underperform",2013-03-18,NVDA
UPDATE: Canaccord Genuity Upgrades NVIDIA Corporation to Buy on 2012 Tablet Ramp-Up,2012-06-25,NVDA
"Benzinga's Top ETF Gainers, November 3rd (SOXL, TNA, ERX, NUGT)",2011-11-03,NVDA
"Rise In Semiconductor, Cloud Computing Stocks Could Set Tone For Broader Economy",2020-03-24,NVDA
Barclays Upgrades NVIDIA to Overweight,2018-05-03,NVDA
"After Slow Start, Week Might Gain Pace As Retail Sales, Inflation Data, Walmart Loom",2019-11-11,NVDA
Watch These 8 Huge Call Purchases In Thursday Trade,2017-09-14,NVDA
"NVIDIA Reports Q3 EPS $0.46 vs. Est. $0.25, Rev. $1.305B vs. Est. $1.18B",2015-11-05,NVDA
Goldman Sachs Maintains Neutral on Nvidia (NVDA),2011-05-10,NVDA
"Regulators Aiming To Break Of Big Tech Are Receiving ""Help"" From COVID-19",2020-03-13,AAPL
40 Stocks Moving In Monday's Mid-Day Session,2019-03-11,NVDA
Technical Alert: Nvidia Corp Lower As Pacific Crest Urges Caution On The Rapid Price Increase,2016-12-12,NVDA
"Susquehanna Maintains Positive on NVIDIA, Raises Price Target to $355",2020-05-04,NVDA
Who's The Boss? It Could Be This New ETF,2017-02-16,NVDA
"Apple CFO Says Due To Reduced Level Of Economic Activity, Services Like Apple Care And Advertising Have Been Impacted",2020-04-30,AAPL
Nvidia Shares Remain Under-Owned,2017-07-06,NVDA
"Intel Shares Up 3% Following Qtr. Results, Guidance; AMD, H-P, NVIDIA, Lam Research, KLA-Tencor Shares Also Seeing Volatility",2015-04-14,NVDA
Benzinga's Top Initiations,2012-09-25,NVDA
Option Alert: NVDA Aug16 58.0 Puts Sweep: 2500 @ ASK $2.10: 2568 traded vs 212 OI: Earnings 8/11 After Close $59.06 Ref,2016-08-09,NVDA
The Market In 5 Minutes,2017-02-24,NVDA
Wedbush Met With Nvidia's CFO; Here's What Happened,2015-06-12,NVDA
Apple-Qualcomm News Shakes These 7 Stocks,2017-10-31,NVDA
110 Biggest Movers From Yesterday,2020-03-17,AAPL
"Global Equities' Trip Chowdhry Sees Tesla Rolling Out Advanced Auto-Pilot, Driver Assistance Software Update Before Aug. 22; Highlights NVIDIA, Mobileye as Cos. Benefiting",2015-08-03,NVDA
20 Technology Stocks Moving In Tuesday's Pre-Market Session,2019-10-08,NVDA
Apple Shares Trading Higher 2.3% Following Q2 Earnings,2020-04-30,AAPL
Taiwan Semiconductor Obtains 12nm Chip Orders from Nvidia Silicon Motion Technology -DigiTimes,2017-05-11,NVDA
"Google Releases Its ASIC AI Infrastructure Called Edge TPU, Watch Shares of NVIDIA On This News",2018-07-26,NVDA
NVIDIA Option Alert: Fri $275 Calls Sweep (60) near the Ask: 502 @ $2.938 vs 6346 OI; Earnings 11/8 After Close [est] Ref=$277.0,2018-09-28,NVDA
Benzinga's Top Downgrades,2014-06-19,NVDA
Goldman Raises 2025 Estimate For Expected Market Value Of Virtual Reality/Augmented Reality From $80B To $95B,2016-07-18,NVDA
Google to Unveil Second-Generation Nexus 7 Today,2013-07-24,NVDA
Option Alert: Nvidia Feb $20 Call; 8189 Contract Trade at Ask @$0.46; Now $19.48,2015-01-29,NVDA
Shares of many semiconductor companies are trading higher with the broader stock market after the Chinese Minister of Commerce said the U.S. and China are set to meet in Washington D.C in early October.,2019-09-05,NVDA
Brean Adjusts NVIDIA's Fair Value Range To $35-$40,2016-05-13,NVDA
Stocks That Hit 52-Week Highs On Wednesday,2019-12-18,NVDA
3 Chip ETFs To Buy On Intel's Stellar Forecast,2020-01-24,NVDA
"CEOWORLD Most Actives Technology Stocks by volume Watch on 4/27/11- AAPL, INTC, MSFT, CSCO, BIDU",2011-04-27,NVDA
30 Stocks Moving In Tuesday's Pre-Market Session,2018-10-30,NVDA
Benzinga's Volume Movers,2016-02-18,NVDA
From Gamescom 2018 Conference: NVIDIA Corp RTX 2000 Series Gaming Chips Will Range From $499 To $999 And Will Be Available Starting Sept. 20,2018-08-20,NVDA
"Care Package: Walmart Results, China Trade Talks Might Help Lift Spirits",2018-08-16,NVDA
15 Bullish Technical Charts MKM Analysts Are Watching,2016-03-21,NVDA
NVIDIA Sees Q1 Sales $2.9B Plus Or Minus 2% vs $2.47B Est.,2018-02-08,NVDA
Shares of several technology companies are trading lower amid overall market weakness following a collapse in oil prices. Oil has been negatively impacted by excess supply and low demand amid the coronavirus pandemic.,2020-04-21,AAPL
"Apple, Huawei Each Captured a Higher Share of China's Smartphone Market in Q1, Says Canalys",2020-05-01,AAPL
Wells Fargo Downgrades NVIDIA to Underperform,2016-07-15,NVDA
"Microsoft Said to Add Qualcomm as Supplier for Surface RT, Nvidia to Remain Supplier for Some Versions",2013-06-18,NVDA
The Market In 5 Minutes,2017-07-12,NVDA
NVIDIA Introduces DRIVE AutoPilot Automated Driving System,2019-01-07,NVDA
Why is NVIDIA Building a Portable Game Machine?,2013-01-07,NVDA
Is There a Good Excuse to Explain Intel's 4Q Revenue Miss?,2011-12-12,NVDA
IC Insights Reports Semiconductor Unit Shipments Topped 1 Trillion In 2018,2019-01-25,NVDA
Apple to Host Virtual Worldwide Developers Conference Beginning June 22,2020-05-05,AAPL
"UPDATE: Raymond James On Apple Notes 'and those who don't buy a phone this year will have a strong incentive to buy one next year, particularly with more complete 5G networks and our belief of a stronger 2021 iPhone feature set'",2020-05-01,AAPL
Sizing Up The Sizzle In Semiconductor ETFs,2017-11-09,NVDA
FaZe Clan Celebrates 10-Year Anniversary With G FUEL And Apple Beats,2020-06-05,AAPL
"Shares of several technology, software and semiconductor companies are trading lower as equities sell off amid continued global coronavirus concerns. The virus has caused global economic disruption and negatively impacted stocks across sectors.",2020-03-12,AAPL
"Tesla Shares Up Slightly Pre-Market Following Electrek Report Co. Working On Its Own A.I. Chip For Autonomous Vehicles, Potentially Impactful For Nvidia, Skyworks Solutions Among Others",2017-12-08,NVDA
NVIDIA Announces Support for Arm CPUs,2019-06-17,NVDA
Why The NVIDIA Story Is Still In Its Early Innings Despite Recent Run,2016-12-13,NVDA
Warner Music CEO On IPO: Music Is The 'Only Global Language',2020-06-03,AAPL
"Nvidia Analysts Preview Q2 Earnings: A Challenging Near Term, But Out Years Hold Promise",2019-08-14,NVDA
"12 Stocks To Watch For February 13, 2020",2020-02-13,NVDA
"UPDATE: Morgan Stanley On NVIDIA Notes Co's 'ray tracing software support should generate more gamer enthusiasm in gaming products,and new data center workloads around conversational AI should lead to another leg of data center growth'",2019-11-25,NVDA
"CEOWORLD Top Semiconductors Stocks on 5/13/11- SPRD, DSTI, MSPD, TXCC, CREE, FSLR, SPA, MTSN, NVLS, NVDA, KBALB, ASYS…",2011-05-13,NVDA
"Amazon, Apple, Walmart, Other Retailers Shutter Stores, Scale Back Operations In Areas Worst Hit With Protests",2020-06-01,AAPL
Nvidia has Not Offered any Concessions to EU Related to $6.8B Mellanox Deal,2019-12-13,NVDA
15 Biggest Mid-Day Gainers For Friday,2017-05-19,NVDA
"Wedbush Maintains Outperform on NVIDIA, Raises Price Target to $340",2020-05-13,NVDA
Former SAC Capital Analyst Horvath Pleads Guilty to Insider Trading,2012-10-01,NVDA
"Deutsche Bank Maintains Hold on NVIDIA, Raises Price Target to $190.00",2017-11-08,NVDA
"After-Hours Losers Aug. 11, 2016: ORIG Down %, XCOM 20%, RT 6.4%, PTX 4%, DDS 3.5%, NVDA 3%",2016-08-11,NVDA
NVIDIA Shares Up 2% Mon. Ahead Of Analyst Day On Tues.; BMO Sees 'very upbeat tone...particularly in light of the truly solid string of results the company has continued to deliver',2018-03-26,NVDA
"Baidu Announces Alliance with 50+ Partners, Including NVIDIA, Microsoft Cloud, to Accelerate the Adoption of Autonomous Driving",2017-07-05,NVDA
"Cramer Gives His Opinion On Taiwan Semiconductor, Wendy's And More",2019-12-06,NVDA
Off The Block: A Fast Start For A Blockchain ETF,2018-01-25,NVDA
'Apple raises more than $8 billion in bond offering' -Tweet From CNBC Now,2020-05-04,AAPL
"Benzinga Pro's Top 5 Stocks To Watch For Thurs., Nov. 14, 2019: NVDA, SINA, DDS, TROV, AMRN",2019-11-14,NVDA
Option Alert: NVDA Feb16 24.0 Puts Sweep: 516 @ ASK $0.22: 1612 traded vs 1977 OI: Earnings today After Close $27.53 Ref,2016-02-17,NVDA
How 3 College Students Turned $500K Into $2.6 Million In 4 Weeks,2017-12-09,NVDA
Communications Services Sector Earnings: When Staying In Becomes The Trend,2020-04-09,AAPL
"Bank Of America, Citigroup, Micron, Nvidia: Fast Money Picks For August 15",2017-08-15,NVDA
Bank Of America's 10 Most Explosive Stock Picks,2015-04-01,NVDA
Jedi Wars Between Amazon And Microsoft Are Still Very Much On,2020-03-10,AAPL
"Morgan Stanley Maintains Overweight on Apple, Lowers Price Target to $298",2020-04-03,AAPL
"Benzinga's Top Upgrades, Downgrades For May 18, 2020",2020-05-18,NVDA
"Week Starts With Trade Hopes Slightly Improved, But Caution Remains Watchword",2019-08-26,NVDA
AMD on Deck: Spotlight on New CEO,2011-10-27,NVDA
Is Google's Tablet a $200 iPad-Killer?,2012-06-27,NVDA
"UPDATE: Roth Capital Transfers Coverage on NVIDIA, Sets Neutral Rating, $26 Price Target",2015-10-12,NVDA
"Nvidia Reports Big Q3 Earnings Beat, Record Sales",2017-11-09,NVDA
"Apple CEO Tim Cook Says Austria, Australia Apple Stores To Reopen In 1 To 2 Weeks",2020-04-30,AAPL
"NVIDIA Shares Up 5.3% Following Q4 Earnings Beat, Q1 Guidance",2018-02-08,NVDA
"Apple, Chips Stocks Falling Amid Taiwan Semiconductor's Weak Guidance",2018-04-19,NVDA
Some Perspective On The Potent Esports ETF,2019-07-23,NVDA
12 Stocks You Should Be Watching Today,2016-11-10,NVDA
Chips On The Table: An Aggressive Semiconductor Idea,2017-12-28,NVDA
Oppenheimer Reiterates Outperform on NVIDIA,2011-08-12,NVDA
"Shares of several semiconductor companies are trading higher in sympathy with the overall market after the U.S. Trade Representative reported that some tariffs will be delayed to Dec 15 on some products including cell phones, monitors, and laptops.",2019-08-13,NVDA
Rambus Up 12% After Signing Patent Agreement,2012-02-08,NVDA
Upcoming Earnings: Alibaba Reports Before Market Open On Friday,2018-05-03,NVDA
Benzinga's Option Alert Recap From September 18,2017-09-18,NVDA
"Bulls And Bears Of The Week: Carvana, Comcast, Walmart And More",2020-05-23,NVDA
"Evercore Partners Maintains Nvidia at Underweight, Raises PT from $11 to $12",2012-02-16,NVDA
Benzinga's Top Pre-Market Gainers,2011-08-11,NVDA
50 Stocks Moving In Friday's Mid-Day Session,2020-02-14,NVDA
"Big Chip Q1 Earnings Preview: A Focus On Industry Downturn, Product Delays, Competitive Dynamics, New Tech",2019-04-25,NVDA
Will Big Tech Come To The Rescue Against COVID-19?,2020-03-19,AAPL
US Stock Futures Down After China Trade Data,2012-08-10,NVDA
"'DRAM Market to See Lower Capital Expenditure and Moderated Bit Output in 2019 Due to Weak Demand, Says TrendForce' -DRAMeXchange Earlier Reported",2019-01-02,NVDA
NVIDIA Corp Reports EPS of $0.27 vs. $0.19 Estimate; Revenues $962.0M vs. $946.89M Estimate (NVDA),2011-05-12,NVDA
Citron's Andrew Left Explains His Latest Trades,2017-02-24,NVDA
"A Look At Benzinga Pro's Most-Searched Tickers For October 7, 2019",2019-10-07,NVDA
"Top Performing Industries For February 18, 2016",2016-02-18,NVDA
"Nomura Instinet Maintains Reduce on NVIDIA, Raises Price Target to $260",2020-05-22,NVDA
"Mizuho Securities Initiates Coverage on NVIDIA at Buy, Announces $60.00 PT",2016-07-15,NVDA
"Goldman Sachs Downgrades Apple to Sell, Lowers Price Target to $233",2020-04-17,AAPL
"As Oil Fuels Equities Rally, Markets Eyeing Key Technical Levels",2018-05-10,NVDA
"UPDATE: Needham Downgrades NVIDIA And Removes $225 Price Target As Firm Believes 'end demand will deteriorate further in its core markets, gaming (54% of sales) and datacenter (25%) driven by an ongoing deceleration in the Chinese economy'",2019-01-29,NVDA
"Watch NVIDIA Shares Here, Stock Up 5%; Benzinga Has Been Alerted to Traders Passing Concern on Possible Chip Recall",2016-12-14,NVDA
Shares of several technology companies are trading higher as markets look to rebound from Monday's selloff. The technology sector has been highly impacted by the coronavirus due to its China exposure and sensitivity to economic conditions.,2020-03-10,AAPL
"Alphabet, Boeing Shares Get A Lift Following Earnings, While GE Falls Short",2020-04-29,AAPL
"UPDATE: Cantor Fitzgerald Initiates NVIDIA with Buy, $20 PT",2012-04-05,NVDA
"Apple Says With Health and Safety of Its Teams in Mind, Decided to Keep Number of Its Stores in the U.S. Closed on Sunday",2020-05-31,AAPL
NVIDIA shares are trading higher after Cascend upgraded the stock from Hold to Buy and announced a price target of $190 per share.,2019-07-11,NVDA
"Benzinga's Top Upgrades (NVDA, ANF, MIPS, WFT)",2011-03-08,NVDA
51 Stocks Moving In Wednesday's Mid-Day Session,2020-02-19,NVDA
"Stocks to Watch for July 31, 2013",2013-07-31,NVDA
"IDC Issues PC Report For Q1, Shows 'Sharp Decline in Q1 2020 Despite Increased Demand to Meet Remote Work and School Needs'",2020-04-13,AAPL
Nuance Communications and NVIDIA to Partner to Advance Artificial Intelligence for Radiology,2017-11-27,NVDA
"Stocks That Made New 52 Week Highs Today Include: Zoetis, Fortive, VeriSign, CF Industries, Ansys, Facebook, IDEXX, Fiserv, Global Payments, CA, Akamai, AES, NVIDIA, Align Tech, and Adobe",2018-06-14,NVDA
NVIDIA Shares Volatile as FBR Issues Mid-Day Note Suggesting Co. Could Offer LT Goals for Returning Cash to Holders at Investor Day Tomorrow (Tuesday),2014-03-24,NVDA
"ICYMI: Nvidia, Snap, The VIX, And MoviePass",2018-02-08,NVDA
Mid-Day Market Update: Natural Grocers Climbs Following Strong Q4 Results; Chi-Med Shares Plummet,2018-11-16,NVDA
Apple Inc Files Prospectus Supplement Related To A Potential Four-Part Notes Offering,2020-05-04,AAPL
"Shares of tech stocks moving higher as market rebounds from mid-week lows, strength could be related to rotation back into growth names; Netflix up 5.3%, NVIDIA up 5.8%, Salesforce Up 5.1%, PayPal Up 4.4%, Apple up 3.2%, VMWare up 3.0%.",2018-10-12,NVDA
"Intel Shares Up 4% Following Raised Q3 Outlook; AMD Shares Up 3.8%, Micron Up 3.4%, NVIDIA Up 0.9%, Texas Instruments Up 0.8%",2016-09-16,NVDA
"UPDATE: NVIDIA Says Kepler, Tegra Driving Growth in 2H",2012-09-13,NVDA
"As The Global Economy Weighs Fears Of A Recession, Travel Is Already In A Depression",2020-05-21,AAPL
"Stifel Nicolaus Maintains Hold on NVIDIA Corporation - Common Stock, Lowers Price Target to $145",2019-05-14,NVDA
"Financial Breakfast: Morning News Summary for November 11, 2011",2011-11-11,NVDA
Benzinga's Top Downgrades,2014-06-23,NVDA
Apple's Top Supplier Foxconn Launched New Recruitment Drive as Current Covid-19 Pandemic in China Ends,2020-06-07,AAPL
Nvidia Shares Rise 4.5% Premarket to $228.75 as Bank of America Raises PT to $275,2018-01-19,NVDA
"UBS Turns Bullish On Nvidia After Guidance Cut, Sees Buying Opportunity",2019-01-29,NVDA
95 Stocks Moving In Monday's Mid-Day Session,2020-03-16,AAPL
"Craig-Hallum Earlier Reiterated Buy on NVIDIA, Raised Price Target to $300",2020-01-13,NVDA
"Wells Fargo Earlier Maintained Outperform on NVIDIA, Raised Price Target to $220",2019-10-22,NVDA
"NVIDIA To Report Q1 Earnings Thurs., May 21, 2020",2020-04-30,NVDA
"BMO Capital Maintains Market Perform on NVIDIA Corporation, Lowers PT to $12.00",2013-02-14,NVDA
"Stifel Nicolaus Maintains Buy on NVIDIA Corporation, Lowers PT to $18.00",2013-02-14,NVDA
Apple And Google Give Details On Their Joint Coronavirus Contact Tracing Tool,2020-04-14,AAPL
Wednesday March 6th Watchlist,2013-03-06,NVDA
"Analyst: Nvidia, Western Digital Only Buys In Semi Space Given Current Industry Dynamics",2017-07-19,NVDA
Nvidia Spiking Higher on Heavy Volume,2011-11-21,NVDA
The Early Reaction To Nvidia's Acquisition Of Mellanox,2019-03-11,NVDA
"Must Watch Stocks for November 6, 2014",2014-11-06,NVDA
Mike Khouw's NVIDIA Options Trade,2017-05-21,NVDA
"NVIDIA, Samsung Agree to Settle All Outstanding IP Litigation, Terms Not Disclosed",2016-05-02,NVDA
Citron Tweets '$nvda shareholders can expect to see $200. Since Jan 1 $nvda has added over $30 bil in mkt cap (more than 2 $amd valuations). Great company dangerous stock',2018-02-02,NVDA
A NVIDIA Q4 Earnings Preview: Upside Should Come From EPS Growth,2017-02-07,NVDA
"UPDATE: Needham On NVIDIA Notes 'we believe the transition to AI, whether from hyperscalers, enterprise or verticals, will accelerate during this COVID-19 outbreak as the shift to private and public cloud will grow'",2020-03-24,NVDA
"Nvidia Gets Orders for Microsoft's Surface RT, Asustek, Toshiba and Hewlett-Packard Tablets -DigiTImes",2013-09-09,NVDA
Climate Change: Up And Down Pattern Continues As Week Advances And Powell Awaited,2020-05-21,NVDA
"Cascend Maintains Buy on NVIDIA, Raises Price Target to $240",2019-11-12,NVDA
Why Cryptocurrency Investors Should Pay Attention To Nvidia's Earnings,2017-11-09,NVDA
"For Nvidia, Gaming Trends Could Make 2018 Another Standout Year",2017-11-21,NVDA
Benzinga's Top Upgrades,2016-08-12,NVDA
"Loup Ventures Says 'Taking the view that China production will remain stable (which can quickly change), the supply chain should be positioned to supply several million iPhones by the end of September, in line with supply for previous launches.'",2020-03-27,AAPL
Shares of several semiconductor companies are trading higher. Strength potentially related to earnings from notable names in the space this week as well as overall market strength amid a rebound in oil.,2020-04-23,NVDA
"NVIDIA Corp Sees Q1 Of Fiscal 2021 Revenue Is Expected To Be $3B, Plus Or Minus 2 Percent vs $2.85B Est.; Co. Says While Ultimate Coronavirus Effect Is Difficult To Estimate, Reducing Revenue Outlook For Q1 By $100M To Account For Potential Impact",2020-02-13,NVDA
"Morgan Stanley Out Positive On NVIDIA, Says Concerns Revolving The Company's Core Gaming Business And Advises A Tactical Long Into May Analyst Day & Earnings",2017-04-10,NVDA
41 Stocks Moving In Friday's Mid-Day Session,2019-08-16,NVDA
"Deutsche Bank Maintains Hold on NVIDIA, Lowers Price Target to $190",2018-11-16,NVDA
Benzinga's Top #PreMarket Gainers,2014-08-08,NVDA
This Leveraged ETF Rapidly Became One Of November's Best,2018-11-20,NVDA
"Why Mobileye, Not Nvidia, Is Ripe For Short Sellers",2017-02-24,NVDA
Shares of several semiconductor companies are trading higher in sympathy with Texas Instruments and Teradyne after both companies reported positive Q2 EPS and sales results. Both companies also issued in-line Q3 guidance.,2019-07-24,NVDA
Apple Said to be Likely Buyer of AR/VR Company NextVR for ~$100M,2020-04-04,AAPL
UPDATE: B. Riley on Semi Industry Into '16: 'Bottoms-up tally (57 co's) suggests a double-digit CY16 FCF rebound',2015-12-28,NVDA
'Apple's #iPhone to join Beijing's 12.2 billion yuan ($1.7 billion) consumption voucher program: report. The discount for each purchase is a maximum of 400 yuan.' -Tweet From China's Global Times,2020-06-04,AAPL
"Continental, NVIDIA Partner to Enable Worldwide Production of AI Self-Driving Cars; Sees 2021 Market Introduction For Continental Autonomous Vehicle Systems",2018-02-05,NVDA
"Apple Is Pushing Back New iPhone Production, WSJ Reports",2020-04-27,AAPL
Morning Market Stats in 5 Minutes,2020-04-30,AAPL
"Apple CFO: The Core Of The Company Is Innovation, Will Continue To Invest In Product Pipeline",2020-04-30,AAPL
NVIDIA Option Alert: Dec 28 $172.5 Calls Sweep (3) near the Ask: 537 @ $0.49 vs 337 OI; Earnings 2/7 After Close [est] Ref=$150.265,2018-12-12,NVDA
Another Executive Jumps Off AMD's Sinking Ship,2012-12-28,NVDA
"Nvidia +12.5% Premarket @$76.30 on Solid Earnings Beat, Share Buyback, Dividend Raise",2016-11-11,NVDA
NVIDIA Shares Falling,2015-11-05,NVDA
"Raymond James Maintains Nvidia at Strong Buy, Lowers PT from $22 to $20",2012-07-10,NVDA
17 Technology Stocks Moving In Monday's Pre-Market Session,2019-10-07,NVDA
Vetr Crowd Upgrades Nvidia To Strong Buy,2018-03-23,NVDA
"Shares of several technology, semiconductor, and software companies are trading higher amid optimism that coronavirus cases in Asia are potentially easing. Global slowing cases could raise hopes of a sooner return to spending and economic activity.",2020-04-07,AAPL
Vetr Crowd Upgrades Nvidia To Strong Buy,2018-03-21,NVDA
"10 Stocks To Watch For May 12, 2016",2016-05-12,NVDA
"Taiwan Semiconductor Manufacturing Receives Orders for HPC Chips from Nvidia, Qualcomm -DigiTimes",2017-03-13,NVDA
12 Stocks Moving In Thursday's After-Hours Session,2020-04-30,AAPL
NVIDIA Makes New All-Time High,2016-05-13,NVDA
"Raymond James Reiterates Outperform on NVIDIA, Raises Price Target to $370",2020-05-22,NVDA
AMD Bear Admits Q4 Earnings Upside Is Likely On Cryptocurrency Strength,2018-01-29,NVDA
"CEOWORLD top 6 buy Materials stocks list for 28 April- SWC, SSRI, SLW, AAU, ROC, FCX",2011-04-28,NVDA
"Piper Sandler Maintains Overweight on Apple, Raises Price Target to $310",2020-05-01,AAPL
Cramer's 11 Stocks To Buy During Fed-Fear Selloffs,2016-09-13,NVDA
Should You Be Buying 2016 Market Leaders Or Laggards Heading Into 2017?,2016-12-28,NVDA
Shares of several hardware suppliers are trading higher after President Trump said he would ease the ban on US companies selling to Huawei.,2019-07-01,NVDA
Benzinga's Top Upgrades,2016-05-13,NVDA
