Date,Year,Month,Month_Name,Day,Weekday,Quarter,Transaction Description,Category,Category_Code,Amount,Type,Is_Income
2023-09-12,2023,9,September,12,Tuesday,3,section agency lawyer sign them.,Utilities,9,1894.38,Expense,0
2020-05-05,2020,5,May,5,Tuesday,2,expert involve oil.,Health & Fitness,2,123.76,Expense,0
2024-08-27,2024,8,August,27,Tuesday,3,good spend still.,Salary,6,1542.23,Expense,0
2021-06-24,2021,6,June,24,Thursday,2,fact reason make office.,Entertainment,0,690.05,Expense,0
2024-06-21,2024,6,June,21,Friday,2,land day name small.,Food & Drink,1,1758.23,Expense,0
2022-12-12,2022,12,December,12,Monday,4,happen a point here control.,Rent,5,274.07,Expense,0
2023-08-10,2023,8,August,10,Thursday,3,mission include visit.,Investment,3,2313.0,Income,1
2021-03-19,2021,3,March,19,Friday,1,across nothing.,Food & Drink,1,1997.19,Expense,0
2021-03-27,2021,3,March,27,Saturday,1,lawyer writer health.,Health & Fitness,2,1907.65,Expense,0
2021-01-26,2021,1,January,26,Tuesday,1,by field move.,Food & Drink,1,624.78,Expense,0
2022-07-04,2022,7,July,4,Monday,3,maintain former campaign pretty beyond.,Food & Drink,1,204.39,Expense,0
2023-05-14,2023,5,May,14,Sunday,2,stage someone for power.,Utilities,9,762.98,Expense,0
2022-03-07,2022,3,March,7,Monday,1,after sister should across treatment.,Entertainment,0,359.23,Expense,0
2021-11-21,2021,11,November,21,Sunday,4,enter build citizen rather.,Investment,3,1794.0,Income,1
2023-10-27,2023,10,October,27,Friday,4,respond into history.,Utilities,9,418.93,Expense,0
2024-04-22,2024,4,April,22,Monday,2,space game truth special decision.,Travel,8,1681.82,Expense,0
2021-12-09,2021,12,December,9,Thursday,4,people early far include nearly.,Other,4,4585.0,Income,1
2022-05-07,2022,5,May,7,Saturday,2,include news a before.,Salary,6,1830.33,Expense,0
2020-03-15,2020,3,March,15,Sunday,1,available defense.,Entertainment,0,1428.77,Expense,0
2021-08-29,2021,8,August,29,Sunday,3,buy tax.,Food & Drink,1,1732.94,Expense,0
2021-02-05,2021,2,February,5,Friday,1,wish candidate have no.,Health & Fitness,2,1610.42,Expense,0
2023-01-26,2023,1,January,26,Thursday,1,add really born.,Other,4,1467.0,Income,1
2022-03-26,2022,3,March,26,Saturday,1,oil per line create build.,Entertainment,0,1526.1,Expense,0
2021-12-15,2021,12,December,15,Wednesday,4,yourself wind beyond prevent entire.,Other,4,3496.0,Income,1
2021-08-23,2021,8,August,23,Monday,3,play recently sure somebody.,Entertainment,0,1772.72,Expense,0
2020-04-26,2020,4,April,26,Sunday,2,go meeting quickly.,Investment,3,914.0,Income,1
2022-09-26,2022,9,September,26,Monday,3,evidence conference capital office.,Rent,5,374.26,Expense,0
2021-09-09,2021,9,September,9,Thursday,3,bar professor power.,Shopping,7,684.68,Expense,0
2021-01-27,2021,1,January,27,Wednesday,1,option oil commercial.,Health & Fitness,2,1467.4,Expense,0
2023-09-01,2023,9,September,1,Friday,3,detail far church some.,Shopping,7,1324.46,Expense,0
2024-02-23,2024,2,February,23,Friday,1,reach step son.,Utilities,9,837.7,Expense,0
2020-09-07,2020,9,September,7,Monday,3,hand so add mr lawyer.,Rent,5,1188.27,Expense,0
2021-01-19,2021,1,January,19,Tuesday,1,item treat area.,Travel,8,1553.72,Expense,0
2022-11-21,2022,11,November,21,Monday,4,program decade home which view.,Travel,8,682.13,Expense,0
2022-09-04,2022,9,September,4,Sunday,3,sort what.,Health & Fitness,2,143.68,Expense,0
2020-12-31,2020,12,December,31,Thursday,4,ready goal amount.,Rent,5,892.92,Expense,0
2022-06-01,2022,6,June,1,Wednesday,2,cultural right cover large work.,Rent,5,1890.92,Expense,0
2024-06-13,2024,6,June,13,Thursday,2,soon including important.,Health & Fitness,2,1443.31,Expense,0
2022-04-03,2022,4,April,3,Sunday,2,inside big minute.,Shopping,7,169.7,Expense,0
2021-10-22,2021,10,October,22,Friday,4,effort bill off.,Other,4,4328.0,Income,1
2021-07-14,2021,7,July,14,Wednesday,3,big the cost for leader.,Entertainment,0,778.47,Expense,0
2023-02-22,2023,2,February,22,Wednesday,1,allow share address.,Investment,3,3939.0,Income,1
2023-06-22,2023,6,June,22,Thursday,2,apply less.,Food & Drink,1,310.75,Expense,0
2020-02-16,2020,2,February,16,Sunday,1,method everything.,Shopping,7,730.37,Expense,0
2020-11-09,2020,11,November,9,Monday,4,follow wife firm key light.,Salary,6,881.14,Expense,0
2022-09-11,2022,9,September,11,Sunday,3,human see.,Utilities,9,380.91,Expense,0
2022-10-02,2022,10,October,2,Sunday,4,stuff benefit seat employee.,Salary,6,281.7,Expense,0
2020-04-23,2020,4,April,23,Thursday,2,develop staff least figure.,Utilities,9,849.54,Expense,0
2022-02-10,2022,2,February,10,Thursday,1,onto site both change note.,Utilities,9,227.36,Expense,0
2023-02-15,2023,2,February,15,Wednesday,1,she they.,Health & Fitness,2,1187.46,Expense,0
2022-07-28,2022,7,July,28,Thursday,3,might good test.,Other,4,1888.0,Income,1
2023-02-18,2023,2,February,18,Saturday,1,single blood continue.,Entertainment,0,309.63,Expense,0
2023-09-07,2023,9,September,7,Thursday,3,almost most look something.,Salary,6,1813.99,Expense,0
2020-11-14,2020,11,November,14,Saturday,4,yard model particular hair.,Salary,6,1938.42,Expense,0
2020-12-18,2020,12,December,18,Friday,4,name skill medical after them.,Utilities,9,995.7,Expense,0
2024-09-06,2024,9,September,6,Friday,3,guess service this different.,Entertainment,0,1003.01,Expense,0
2023-07-21,2023,7,July,21,Friday,3,brother southern project learn.,Shopping,7,1484.48,Expense,0
2021-08-15,2021,8,August,15,Sunday,3,go exactly much food region.,Food & Drink,1,720.62,Expense,0
2021-06-06,2021,6,June,6,Sunday,2,wait it quickly produce beat.,Salary,6,1982.06,Expense,0
2020-06-30,2020,6,June,30,Tuesday,2,call animal approach factor want.,Travel,8,98.33,Expense,0
2023-11-27,2023,11,November,27,Monday,4,candidate bad real.,Salary,6,370.71,Expense,0
2021-05-02,2021,5,May,2,Sunday,2,source onto provide.,Utilities,9,267.08,Expense,0
2023-04-23,2023,4,April,23,Sunday,2,customer expert mother significant.,Salary,6,1088.83,Expense,0
2022-06-12,2022,6,June,12,Sunday,2,truth during always those high.,Shopping,7,1614.27,Expense,0
2023-10-14,2023,10,October,14,Saturday,4,rule too.,Investment,3,1508.0,Income,1
2023-08-17,2023,8,August,17,Thursday,3,apply both chance.,Investment,3,569.0,Income,1
2021-09-11,2021,9,September,11,Saturday,3,local director become.,Utilities,9,1095.49,Expense,0
2020-03-11,2020,3,March,11,Wednesday,1,attention attack technology.,Rent,5,180.45,Expense,0
2020-04-06,2020,4,April,6,Monday,2,along hard need involve among.,Shopping,7,388.92,Expense,0
2023-11-21,2023,11,November,21,Tuesday,4,carry example.,Salary,6,1910.63,Expense,0
2020-02-08,2020,2,February,8,Saturday,1,around there water.,Food & Drink,1,465.81,Expense,0
2023-01-04,2023,1,January,4,Wednesday,1,american audience fight war whether.,Entertainment,0,1259.88,Expense,0
2021-08-18,2021,8,August,18,Wednesday,3,yeah term.,Health & Fitness,2,275.49,Expense,0
2024-06-06,2024,6,June,6,Thursday,2,remain seven marriage.,Food & Drink,1,1008.66,Expense,0
2022-07-19,2022,7,July,19,Tuesday,3,president chance hotel through.,Utilities,9,1481.91,Expense,0
2020-10-29,2020,10,October,29,Thursday,4,office of remember individual.,Utilities,9,15.32,Expense,0
2020-07-02,2020,7,July,2,Thursday,3,their off.,Entertainment,0,734.8,Expense,0
2021-06-06,2021,6,June,6,Sunday,2,require bank child.,Utilities,9,734.16,Expense,0
2022-10-03,2022,10,October,3,Monday,4,newspaper special general in go.,Salary,6,824.18,Expense,0
2020-08-19,2020,8,August,19,Wednesday,3,company participant him.,Other,4,1988.0,Income,1
2020-06-19,2020,6,June,19,Friday,2,something future they red.,Entertainment,0,453.62,Expense,0
2023-08-23,2023,8,August,23,Wednesday,3,citizen ahead method.,Travel,8,1357.62,Expense,0
2023-04-24,2023,4,April,24,Monday,2,chance event address.,Investment,3,1239.0,Income,1
2024-08-30,2024,8,August,30,Friday,3,woman whose already.,Entertainment,0,1602.32,Expense,0
2024-10-02,2024,10,October,2,Wednesday,4,gas with policy cut.,Travel,8,1610.13,Expense,0
2021-05-25,2021,5,May,25,Tuesday,2,wrong difficult range.,Travel,8,1594.7,Expense,0
2020-07-22,2020,7,July,22,Wednesday,3,million kind everything young.,Food & Drink,1,1786.39,Expense,0
2024-02-07,2024,2,February,7,Wednesday,1,nation little east everyone.,Other,4,2163.0,Income,1
2024-04-18,2024,4,April,18,Thursday,2,one shoulder administration.,Other,4,3091.0,Income,1
2022-08-06,2022,8,August,6,Saturday,3,these road.,Health & Fitness,2,886.04,Expense,0
2024-01-11,2024,1,January,11,Thursday,1,boy college mrs.,Salary,6,1849.5,Expense,0
2021-07-15,2021,7,July,15,Thursday,3,month police others particularly.,Investment,3,730.0,Income,1
2024-02-21,2024,2,February,21,Wednesday,1,law agree appear political.,Food & Drink,1,1549.59,Expense,0
2020-05-06,2020,5,May,6,Wednesday,2,exist professional.,Utilities,9,146.36,Expense,0
2023-05-19,2023,5,May,19,Friday,2,management produce bed stage.,Rent,5,483.61,Expense,0
2024-12-16,2024,12,December,16,Monday,4,child group describe.,Shopping,7,1544.74,Expense,0
2022-01-03,2022,1,January,3,Monday,1,company why really up.,Investment,3,3186.0,Income,1
2020-01-31,2020,1,January,31,Friday,1,much section investment on gun.,Rent,5,1712.08,Expense,0
2021-09-09,2021,9,September,9,Thursday,3,personal rise sense investment.,Other,4,3509.0,Income,1
2021-03-16,2021,3,March,16,Tuesday,1,sense expert experience.,Investment,3,4401.0,Income,1
2023-05-15,2023,5,May,15,Monday,2,leave opportunity draw during city.,Travel,8,263.42,Expense,0
2020-12-16,2020,12,December,16,Wednesday,4,place offer.,Shopping,7,474.79,Expense,0
2023-12-26,2023,12,December,26,Tuesday,4,memory challenge lawyer business.,Food & Drink,1,1635.01,Expense,0
2020-12-13,2020,12,December,13,Sunday,4,vote participant institution simply down.,Salary,6,696.8,Expense,0
2024-11-24,2024,11,November,24,Sunday,4,western tend candidate day.,Rent,5,850.26,Expense,0
2020-11-04,2020,11,November,4,Wednesday,4,bill eight community.,Rent,5,128.68,Expense,0
2022-01-18,2022,1,January,18,Tuesday,1,threat church big day couple.,Food & Drink,1,1414.49,Expense,0
2024-05-22,2024,5,May,22,Wednesday,2,discussion detail training fund.,Utilities,9,1474.48,Expense,0
2022-05-23,2022,5,May,23,Monday,2,tv car report window.,Salary,6,937.35,Expense,0
2023-05-16,2023,5,May,16,Tuesday,2,skin name door production back.,Food & Drink,1,372.34,Expense,0
2021-02-11,2021,2,February,11,Thursday,1,good anything manager think pressure.,Health & Fitness,2,225.61,Expense,0
2022-08-29,2022,8,August,29,Monday,3,likely outside because.,Shopping,7,1933.95,Expense,0
2024-07-25,2024,7,July,25,Thursday,3,give that individual of not.,Health & Fitness,2,823.6,Expense,0
2024-01-10,2024,1,January,10,Wednesday,1,and student give score agree.,Rent,5,1546.57,Expense,0
2023-04-01,2023,4,April,1,Saturday,2,leg sport until argue.,Food & Drink,1,1978.91,Expense,0
2024-11-18,2024,11,November,18,Monday,4,woman daughter hospital move.,Utilities,9,694.33,Expense,0
2021-10-27,2021,10,October,27,Wednesday,4,focus indicate result.,Rent,5,259.4,Expense,0
2024-10-02,2024,10,October,2,Wednesday,4,country little reality level.,Shopping,7,400.17,Expense,0
2023-11-27,2023,11,November,27,Monday,4,affect machine.,Health & Fitness,2,1226.6,Expense,0
2020-08-27,2020,8,August,27,Thursday,3,account ten sing.,Food & Drink,1,1899.73,Expense,0
2021-03-22,2021,3,March,22,Monday,1,purpose cover particularly police if.,Other,4,3620.0,Income,1
2020-03-09,2020,3,March,9,Monday,1,me system church whether.,Travel,8,486.51,Expense,0
2021-05-25,2021,5,May,25,Tuesday,2,behavior here.,Health & Fitness,2,1019.6,Expense,0
2021-03-09,2021,3,March,9,Tuesday,1,explain research.,Utilities,9,1975.18,Expense,0
2023-06-13,2023,6,June,13,Tuesday,2,employee picture official of prevent.,Salary,6,407.35,Expense,0
2024-09-05,2024,9,September,5,Thursday,3,item yet ever quite.,Travel,8,373.74,Expense,0
2020-06-07,2020,6,June,7,Sunday,2,difference attention whatever american.,Food & Drink,1,232.63,Expense,0
2020-06-11,2020,6,June,11,Thursday,2,recent feeling.,Shopping,7,1947.94,Expense,0
2024-12-15,2024,12,December,15,Sunday,4,beyond family movement hospital back.,Rent,5,1949.45,Expense,0
2023-07-10,2023,7,July,10,Monday,3,shoulder despite poor tree resource.,Investment,3,1365.0,Income,1
2023-03-27,2023,3,March,27,Monday,1,son yourself increase.,Investment,3,2033.0,Income,1
2021-04-13,2021,4,April,13,Tuesday,2,easy get every.,Shopping,7,148.47,Expense,0
2020-11-12,2020,11,November,12,Thursday,4,training occur could painting.,Travel,8,1156.73,Expense,0
2023-09-04,2023,9,September,4,Monday,3,its develop until watch.,Food & Drink,1,1170.22,Expense,0
2021-09-11,2021,9,September,11,Saturday,3,most across.,Salary,6,709.58,Expense,0
2022-05-29,2022,5,May,29,Sunday,2,style real far.,Entertainment,0,1003.61,Expense,0
2020-07-06,2020,7,July,6,Monday,3,newspaper indicate other.,Travel,8,1113.28,Expense,0
2020-11-07,2020,11,November,7,Saturday,4,senior service large under.,Travel,8,1402.47,Expense,0
2023-09-16,2023,9,September,16,Saturday,3,money but report question.,Salary,6,295.02,Expense,0
2022-05-08,2022,5,May,8,Sunday,2,box service develop game.,Rent,5,1845.23,Expense,0
2021-08-20,2021,8,August,20,Friday,3,economic represent stock.,Health & Fitness,2,1628.88,Expense,0
2024-05-04,2024,5,May,4,Saturday,2,notice street anything.,Salary,6,1311.28,Expense,0
2020-12-16,2020,12,December,16,Wednesday,4,investment pass drive.,Food & Drink,1,643.17,Expense,0
2022-01-16,2022,1,January,16,Sunday,1,end bit game thousand.,Entertainment,0,47.69,Expense,0
2020-09-29,2020,9,September,29,Tuesday,3,make travel.,Salary,6,1295.35,Expense,0
2020-02-19,2020,2,February,19,Wednesday,1,interest level rock pull.,Investment,3,3958.0,Income,1
2024-06-01,2024,6,June,1,Saturday,2,southern front.,Travel,8,1671.4,Expense,0
2022-09-29,2022,9,September,29,Thursday,3,task cultural son school.,Other,4,3965.0,Income,1
2023-05-14,2023,5,May,14,Sunday,2,should page camera.,Health & Fitness,2,454.24,Expense,0
2021-04-18,2021,4,April,18,Sunday,2,special information.,Food & Drink,1,192.6,Expense,0
2023-08-01,2023,8,August,1,Tuesday,3,building range national focus.,Entertainment,0,555.22,Expense,0
2024-07-07,2024,7,July,7,Sunday,3,better republican stock bank.,Rent,5,195.45,Expense,0
2022-01-09,2022,1,January,9,Sunday,1,answer just.,Entertainment,0,1445.59,Expense,0
2023-01-19,2023,1,January,19,Thursday,1,begin hundred truth.,Utilities,9,779.81,Expense,0
2024-06-07,2024,6,June,7,Friday,2,positive free case.,Investment,3,2384.0,Income,1
2024-06-09,2024,6,June,9,Sunday,2,wide shoulder according strong.,Other,4,2232.0,Income,1
2023-03-07,2023,3,March,7,Tuesday,1,bed food possible represent.,Entertainment,0,280.86,Expense,0
2020-08-13,2020,8,August,13,Thursday,3,system teacher here first.,Salary,6,67.76,Expense,0
2023-01-29,2023,1,January,29,Sunday,1,home even.,Health & Fitness,2,323.05,Expense,0
2021-01-12,2021,1,January,12,Tuesday,1,customer career available common.,Other,4,2856.0,Income,1
2022-07-29,2022,7,July,29,Friday,3,thought according think key.,Other,4,2698.0,Income,1
2021-05-14,2021,5,May,14,Friday,2,contain threat wrong whatever.,Health & Fitness,2,450.93,Expense,0
2023-03-31,2023,3,March,31,Friday,1,pattern ahead compare form full.,Utilities,9,844.28,Expense,0
2022-02-14,2022,2,February,14,Monday,1,peace race i.,Rent,5,1365.57,Expense,0
2021-05-30,2021,5,May,30,Sunday,2,another avoid understand.,Salary,6,1164.86,Expense,0
2021-07-19,2021,7,July,19,Monday,3,try opportunity public.,Utilities,9,283.82,Expense,0
2023-12-21,2023,12,December,21,Thursday,4,mission put budget house.,Food & Drink,1,214.26,Expense,0
2023-03-05,2023,3,March,5,Sunday,1,stop later reveal both.,Shopping,7,1404.44,Expense,0
2020-09-18,2020,9,September,18,Friday,3,between rate name within.,Travel,8,1235.67,Expense,0
2022-05-03,2022,5,May,3,Tuesday,2,poor church.,Salary,6,103.3,Expense,0
2021-03-17,2021,3,March,17,Wednesday,1,present discussion.,Health & Fitness,2,1031.34,Expense,0
2022-12-01,2022,12,December,1,Thursday,4,art green child movie blue.,Utilities,9,1765.47,Expense,0
2020-04-18,2020,4,April,18,Saturday,2,agent say forward us.,Health & Fitness,2,1603.18,Expense,0
2023-11-29,2023,11,November,29,Wednesday,4,turn day top.,Other,4,601.0,Income,1
2022-08-13,2022,8,August,13,Saturday,3,process enough right garden law.,Other,4,3114.0,Income,1
2024-10-19,2024,10,October,19,Saturday,4,take family chance.,Utilities,9,1284.76,Expense,0
2020-11-27,2020,11,November,27,Friday,4,doctor dream whole six.,Investment,3,4280.0,Income,1
2021-03-08,2021,3,March,8,Monday,1,night various return explain.,Entertainment,0,663.83,Expense,0
2024-01-22,2024,1,January,22,Monday,1,five store ask data.,Shopping,7,1351.74,Expense,0
2021-08-06,2021,8,August,6,Friday,3,ever mrs.,Salary,6,134.99,Expense,0
2024-06-17,2024,6,June,17,Monday,2,information though red.,Investment,3,2615.0,Income,1
2020-09-23,2020,9,September,23,Wednesday,3,produce ago.,Utilities,9,980.22,Expense,0
2024-02-06,2024,2,February,6,Tuesday,1,design blood degree ever.,Other,4,3674.0,Income,1
2023-02-07,2023,2,February,7,Tuesday,1,charge today prevent.,Other,4,1478.0,Income,1
2022-07-18,2022,7,July,18,Monday,3,baby away affect medical all.,Entertainment,0,1429.09,Expense,0
2022-01-01,2022,1,January,1,Saturday,1,wish run join.,Salary,6,1043.47,Expense,0
2020-10-15,2020,10,October,15,Thursday,4,congress reflect.,Salary,6,962.64,Expense,0
2021-07-09,2021,7,July,9,Friday,3,find lay deal lot.,Utilities,9,1747.27,Expense,0
2020-02-16,2020,2,February,16,Sunday,1,much rich think.,Utilities,9,1023.96,Expense,0
2020-04-01,2020,4,April,1,Wednesday,2,analysis four capital.,Travel,8,1341.27,Expense,0
2024-01-15,2024,1,January,15,Monday,1,market specific property coach.,Entertainment,0,554.46,Expense,0
2024-08-22,2024,8,August,22,Thursday,3,there decision measure.,Entertainment,0,1216.66,Expense,0
2023-07-20,2023,7,July,20,Thursday,3,already argue.,Rent,5,383.99,Expense,0
2021-06-11,2021,6,June,11,Friday,2,mention billion bed never others.,Rent,5,666.08,Expense,0
2022-06-21,2022,6,June,21,Tuesday,2,hope brother.,Investment,3,1177.0,Income,1
2023-10-30,2023,10,October,30,Monday,4,structure our century.,Investment,3,2815.0,Income,1
2023-05-20,2023,5,May,20,Saturday,2,serious produce.,Utilities,9,1276.01,Expense,0
2023-07-10,2023,7,July,10,Monday,3,western enough key.,Food & Drink,1,1575.24,Expense,0
2024-07-06,2024,7,July,6,Saturday,3,research visit program suddenly doctor.,Shopping,7,1654.76,Expense,0
2024-02-10,2024,2,February,10,Saturday,1,need finally when.,Entertainment,0,1554.53,Expense,0
2024-02-10,2024,2,February,10,Saturday,1,real small.,Health & Fitness,2,1512.66,Expense,0
2024-11-01,2024,11,November,1,Friday,4,nearly care base.,Travel,8,1881.47,Expense,0
2022-03-07,2022,3,March,7,Monday,1,positive question especially.,Food & Drink,1,1475.87,Expense,0
2023-07-23,2023,7,July,23,Sunday,3,scientist do author.,Health & Fitness,2,1643.82,Expense,0
2022-11-04,2022,11,November,4,Friday,4,nature country.,Rent,5,279.82,Expense,0
2020-06-05,2020,6,June,5,Friday,2,seven here sell story.,Utilities,9,1277.86,Expense,0
2021-11-06,2021,11,November,6,Saturday,4,character usually agency.,Entertainment,0,698.59,Expense,0
2021-11-03,2021,11,November,3,Wednesday,4,development middle animal.,Health & Fitness,2,265.39,Expense,0
2024-07-07,2024,7,July,7,Sunday,3,project spring of.,Utilities,9,956.98,Expense,0
2023-11-28,2023,11,November,28,Tuesday,4,arrive budget education at property.,Shopping,7,886.97,Expense,0
2023-12-09,2023,12,December,9,Saturday,4,turn surface listen.,Shopping,7,305.82,Expense,0
2022-03-20,2022,3,March,20,Sunday,1,identify say on yes.,Food & Drink,1,1338.89,Expense,0
2023-06-15,2023,6,June,15,Thursday,2,agree machine camera baby six.,Investment,3,2890.0,Income,1
2020-12-12,2020,12,December,12,Saturday,4,large accept bad eight.,Salary,6,1731.87,Expense,0
2024-06-23,2024,6,June,23,Sunday,2,strategy fight institution.,Utilities,9,1451.13,Expense,0
2022-03-18,2022,3,March,18,Friday,1,technology end represent throughout.,Salary,6,1509.98,Expense,0
2023-07-01,2023,7,July,1,Saturday,3,story activity.,Utilities,9,249.36,Expense,0
2023-04-10,2023,4,April,10,Monday,2,even beautiful.,Health & Fitness,2,1536.02,Expense,0
2021-04-03,2021,4,April,3,Saturday,2,car indeed nor next.,Travel,8,1204.82,Expense,0
2022-01-22,2022,1,January,22,Saturday,1,best deal point.,Other,4,4975.0,Income,1
2023-03-31,2023,3,March,31,Friday,1,box four.,Salary,6,131.35,Expense,0
2023-11-26,2023,11,November,26,Sunday,4,type look find.,Salary,6,1601.8,Expense,0
2023-11-05,2023,11,November,5,Sunday,4,according police.,Investment,3,2654.0,Income,1
2020-11-02,2020,11,November,2,Monday,4,town glass road.,Utilities,9,1817.74,Expense,0
2022-02-06,2022,2,February,6,Sunday,1,too song quality per build.,Health & Fitness,2,1909.67,Expense,0
2023-03-23,2023,3,March,23,Thursday,1,space this discussion fact.,Other,4,3735.0,Income,1
2024-10-23,2024,10,October,23,Wednesday,4,listen ok point so.,Salary,6,1564.14,Expense,0
2023-11-23,2023,11,November,23,Thursday,4,somebody next ready.,Rent,5,807.55,Expense,0
2022-01-24,2022,1,January,24,Monday,1,politics hold.,Investment,3,2785.0,Income,1
2020-10-07,2020,10,October,7,Wednesday,4,indeed believe interview professor.,Travel,8,510.29,Expense,0
2023-08-04,2023,8,August,4,Friday,3,or friend.,Shopping,7,1274.47,Expense,0
2023-01-24,2023,1,January,24,Tuesday,1,both including.,Other,4,1450.0,Income,1
2021-03-18,2021,3,March,18,Thursday,1,small control see the.,Travel,8,921.5,Expense,0
2020-04-06,2020,4,April,6,Monday,2,away third.,Salary,6,493.56,Expense,0
2021-01-15,2021,1,January,15,Friday,1,huge response long.,Travel,8,53.66,Expense,0
2024-10-28,2024,10,October,28,Monday,4,fill thousand number.,Investment,3,1524.0,Income,1
2022-11-10,2022,11,November,10,Thursday,4,laugh red man fly charge.,Travel,8,1259.35,Expense,0
2024-03-06,2024,3,March,6,Wednesday,1,effect people.,Food & Drink,1,1257.6,Expense,0
2024-10-08,2024,10,October,8,Tuesday,4,group never.,Food & Drink,1,438.78,Expense,0
2024-01-14,2024,1,January,14,Sunday,1,space beyond.,Health & Fitness,2,1013.18,Expense,0
2021-03-29,2021,3,March,29,Monday,1,land region back nor article.,Rent,5,869.43,Expense,0
2024-07-23,2024,7,July,23,Tuesday,3,democratic standard major.,Investment,3,3572.0,Income,1
2024-01-02,2024,1,January,2,Tuesday,1,himself fire heavy.,Rent,5,101.1,Expense,0
2024-05-04,2024,5,May,4,Saturday,2,white likely teacher one.,Entertainment,0,1813.54,Expense,0
2024-02-07,2024,2,February,7,Wednesday,1,television argue mouth.,Health & Fitness,2,1932.01,Expense,0
2022-05-31,2022,5,May,31,Tuesday,2,approach season data than team.,Salary,6,376.26,Expense,0
2020-10-31,2020,10,October,31,Saturday,4,join black.,Travel,8,1408.95,Expense,0
2022-03-04,2022,3,March,4,Friday,1,study else store.,Investment,3,3208.0,Income,1
2020-09-22,2020,9,September,22,Tuesday,3,only spend do.,Salary,6,1144.0,Expense,0
2024-03-05,2024,3,March,5,Tuesday,1,believe arrive.,Entertainment,0,647.42,Expense,0
